Field=Comment~String~Comment~120|Field=Description~String~Description~152|Field=Designator~String~Designator~370|Field=Footprint~String~Footprint~60|Field=LibRef~String~LibRef~60|Field=ProjectName~String~ProjectName~66|Field=Quantity~Integer~Quantity~55|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~HeatingAC_GarageProject.PrjPCB|ReportField=ProjectFullPath~C:\Users\laptop\Desktop\Levi\SeniorProject\Temperature Board Design\Controller box\HeatingAC_GarageProject.PrjPCB|ReportField=Title~Bill of Materials For Project [HeatingAC_GarageProject.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~38|ReportField=ReportTime~10:08:31 PM|ReportField=ReportDate~7/11/2012|ReportField=ReportDateTime~7/11/2012 10:08:31 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~7/11/2012|ReportField=CurrentTime~10:02:31 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\laptop\Desktop\Levi\SeniorProject\Temperature Board Design\Controller box\HeatingAC_Garage.SchDoc|ReportField=DocumentName~HeatingAC_Garage.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~6/16/2012|ReportField=Organization~|ReportField=ProjectName~HeatingAC_GarageProject.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~HeatingAC_GarageProject.PrjPCB|ReportField=DataSourceFullPath~C:\Users\laptop\Desktop\Levi\SeniorProject\Temperature Board Design\Controller box\HeatingAC_GarageProject.PrjPCB
Cap|Capacitor|C1, C2|RAD-0.3|Cap|HeatingAC_GarageProject.PrjPCB|2
Diode 1N4148|High Conductance Fast Diode|D1, D2, D3, D4|DO-35|Diode 1N4148|HeatingAC_GarageProject.PrjPCB|4
D Connector 9|Receptacle Assembly, 9 Position, Right Angle|J1|DSUB1.385-2H9|D Connector 9|HeatingAC_GarageProject.PrjPCB|1
KLT1C6DC5|KLT1C6DC5|K1, K2, K3, K4|PCBComponent_1|KLT1C6DC5|HeatingAC_GarageProject.PrjPCB|4
Header 2|Header, 2-Pin|P1|HDR1X2|Header 2|HeatingAC_GarageProject.PrjPCB|1
Header 3|Header, 3-Pin|P2|HDR1X3|Header 3|HeatingAC_GarageProject.PrjPCB|1
Header 6|Header, 6-Pin|P3|HDR1X6|Header 6|HeatingAC_GarageProject.PrjPCB|1
2N3904|NPN General Purpose Amplifier|Q1, Q2, Q3, Q4|TO-92A|2N3904|HeatingAC_GarageProject.PrjPCB|4
Res1|Resistor|R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16|AXIAL-0.3|Res1|HeatingAC_GarageProject.PrjPCB|16
SN7416N|Hex Inverter Buffer / Driver with High-Voltage Outputs|U1|N014|SN7416N|HeatingAC_GarageProject.PrjPCB|1
OptoCoupler||U2, U3, U4|DIP4|OptoCoupler|HeatingAC_GarageProject.PrjPCB|3
