Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~HeatingAC_GarageProject.PrjPCB|ReportField=ProjectFullPath~C:\Users\laptop\Desktop\Levi\SeniorProject\Epic Cube Design\Workspace\Projects\HeatingAC_GarageProject.PrjPCB|ReportField=Title~Bill of Materials For Project [HeatingAC_GarageProject.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~58|ReportField=ReportTime~11:29:03 PM|ReportField=ReportDate~8/17/2012|ReportField=ReportDateTime~8/17/2012 11:29:03 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~50 S Central Campus Dr.|ReportField=Address2~Rm. 3280 MEB|ReportField=Address3~SLC, UT 84112|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~Levi Balling|ReportField=CheckedBy~Dell Hanks|ReportField=CompanyName~Smart House|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~8/17/2012|ReportField=CurrentTime~11:29:00 PM|ReportField=Date~7/11/2012|ReportField=DocumentFullPathAndName~C:\Users\laptop\Desktop\Levi\SeniorProject\Epic Cube Design\Workspace\Schematics\HeatingAC_Garage.SchDoc|ReportField=DocumentName~HeatingAC_Garage.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~Levi Balling|ReportField=Engineer~Levi Balling|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~8/17/2012|ReportField=Organization~U of U Computer Engineering|ReportField=Project~Smart Home|ReportField=ProjectName~HeatingAC_GarageProject.PrjPCB|ReportField=Revision~2|ReportField=Rule~|ReportField=SheetNumber~6|ReportField=SheetTotal~13|ReportField=Time~|ReportField=Title~HVAC & Garage Control|ReportField=VersionControl_RevNumber~1|ReportField=Website~www.eng.utah.edu/~lballing/SmartHome|ReportField=DataSourceFileName~HeatingAC_GarageProject.PrjPCB|ReportField=DataSourceFullPath~C:\Users\laptop\Desktop\Levi\SeniorProject\Epic Cube Design\Workspace\Projects\HeatingAC_GarageProject.PrjPCB
Cap|Capacitor|C1, C2|RAD-0.3|Cap|2
LED_White|Typical INFRARED GaAs LED|D1, D2, D3, D4|LED-0|LED0|4
Diode 1N4148|High Conductance Fast Diode|D5, D6, D7, D8, D9, D10, D11|DO-35|Diode 1N4148|7
D Connector 9|Receptacle Assembly, 9 Position, Right Angle|J1|DSUB1.385-2H9|D Connector 9|1
SPDT -TAYDA||K1, K2, K3, K4, K5, K6, K7|Relay  SPDT Tayda|SPDT|7
Header 2|Header, 2-Pin|P1|HDR1X2|Header 2|1
Header 3|Header, 3-Pin|P2|HDR1X3|Header 3|1
Header 7|Header, 7-Pin|P3|HDR1X7|Header 7|1
2N3904|NPN General Purpose Amplifier|Q1, Q2, Q3, Q4, Q5, Q6, Q7|2N3904|2N3904|7
Res1|Resistor|R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23|AXIAL-0.3|Res1|23
OptoCoupler||U1, U3, U4|Octocoupler|OptoCoupler|3
SN7416N|Hex Inverter Buffer / Driver with High-Voltage Outputs|U2|N014|SN7416N|1
