Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~MotorControllerProject.PrjPCB|ReportField=ProjectFullPath~C:\Users\laptop\Desktop\Levi\SeniorProject\Epic Cube Design\Workspace\Projects\MotorControllerProject.PrjPCB|ReportField=Title~Bill of Materials For Project [MotorControllerProject.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~57|ReportField=ReportTime~11:34:42 PM|ReportField=ReportDate~8/17/2012|ReportField=ReportDateTime~8/17/2012 11:34:42 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~50 S Central Campus Dr.|ReportField=Address2~Rm. 3280 MEB|ReportField=Address3~SLC,UT 84112|ReportField=Address4~|ReportField=ApprovedBy~Levi Balling|ReportField=Author~Rob Paisley|ReportField=CheckedBy~Dell Hanks|ReportField=CompanyName~Smart Home|ReportField=CurrentDate~8/17/2012|ReportField=CurrentTime~11:34:38 PM|ReportField=Date~7/13/2012|ReportField=DocumentFullPathAndName~C:\Users\laptop\Desktop\Levi\SeniorProject\Epic Cube Design\Workspace\Schematics\MotorController.SchDoc|ReportField=DocumentName~MotorController.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~Levi Balling|ReportField=Engineer~R. Paisley, L. Balling|ReportField=ImagePath~|ReportField=ModifiedDate~8/17/2012|ReportField=Organization~U of U Computer Engineering|ReportField=Project~Smart Home|ReportField=ProjectName~MotorControllerProject.PrjPCB|ReportField=Revision~1|ReportField=Rule~|ReportField=SheetNumber~7|ReportField=SheetTotal~13|ReportField=Time~|ReportField=Title~Bi-Polar Stepper Motor Driver|ReportField=Website~www.eng.utah.edu/~lballing/SmartHome|ReportField=DataSourceFileName~MotorControllerProject.PrjPCB|ReportField=DataSourceFullPath~C:\Users\laptop\Desktop\Levi\SeniorProject\Epic Cube Design\Workspace\Projects\MotorControllerProject.PrjPCB
Cap|Capacitor|C1, C2|RAD-0.3|Cap|2
Diode 1N5408|3 Amp Medium Power Silicon Rectifier Diode|D1, D2, D3, D4, D5, D6, D7, D8|DO-201AD|Diode 1N5408|8
LED0|Typical INFRARED GaAs LED|D9|LED-0|LED0|1
Diode 1N4148|High Conductance Fast Diode|D10|DO-35|Diode 1N4148|1
Header 6|Header, 6-Pin|P1|HDR1X6|Header 6|1
Header 4|Header, 4-Pin|P2|HDR1X4|Header 4|1
2N3904|NPN General Purpose Amplifier|Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9, Q10|2N3904|2N3904|10
Res1|Resistor|R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22|AXIAL-0.3|Res1|22
TIP126|TIP126 -PNP|U1, U2, U3, U4|TO-220|TIP126|4
TIP120|NPN 60V -5A TO-220|U5, U6, U7, U8|TO-220|TIP120|4
LM555CN|Timer|U9|N08E|LM555CN|1
MC74HC194N|4-Bit Bidirectional Universal Shift Register|U10|648-06|MC74HC194N|1
SN754410NE|Quadruple Half-H Driver|U11|NE016|SN754410NE|1
