Field=Comment~String~Comment~123|Field=Description~String~Description~123|Field=Designator~String~Designator~225|Field=Footprint~String~Footprint~102|Field=LibRef~String~LibRef~102|Field=Price~String~Price~102|Field=Quantity~Integer~Quantity~36|Field=Value~String~Value~136|Field=Vendor~String~Vendor~173|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PrintingProjectAllDocs.PrjPCB|ReportField=ProjectFullPath~C:\Users\laptop\Desktop\Levi\SeniorProject\Epic Cube Design\Workspace\Projects\PrintingProjectAllDocs.PrjPCB|ReportField=Title~Damper Section BOM 2 For Schematic Document [DamperSection.SchDoc]|ReportField=TotalQuantity~85|ReportField=ReportTime~11:19:04 PM|ReportField=ReportDate~9/24/2012|ReportField=ReportDateTime~9/24/2012 11:19:04 PM|ReportField=OutputName~Damper Section BOM 2|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~50 S Central Campus Dr.|ReportField=Address2~Rm. 3280 MEB|ReportField=Address3~SLC, UT 84112|ReportField=Address4~|ReportField=ApprovedBy~Levi Balling|ReportField=Author~Levi Balling|ReportField=CheckedBy~Dell Hanks|ReportField=CompanyName~Smart Home|ReportField=CurrentDate~9/24/2012|ReportField=CurrentTime~11:18:59 PM|ReportField=Date~7/13/2012|ReportField=DocumentFullPathAndName~C:\Users\laptop\Desktop\Levi\SeniorProject\Epic Cube Design\Workspace\Schematics\DamperSection.SchDoc|ReportField=DocumentName~DamperSection.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~Levi Balling|ReportField=Engineer~Levi Balling|ReportField=ImagePath~|ReportField=ModifiedDate~9/1/2012|ReportField=Organization~U of U Computer Engineering|ReportField=Project~Smart Home|ReportField=ProjectName~PrintingProjectAllDocs.PrjPCB|ReportField=Revision~2|ReportField=Rule~|ReportField=SheetNumber~8|ReportField=SheetTotal~13|ReportField=Time~|ReportField=Title~Damper Section|ReportField=Website~www.eng.utah.edu/~lballing/SmartHome|ReportField=DataSourceFileName~DamperSection.SchDoc|ReportField=DataSourceFullPath~C:\Users\laptop\Desktop\Levi\SeniorProject\Epic Cube Design\Workspace\Schematics\DamperSection.SchDoc
1N4001|1.0 Ampere General Purpose Rectifier|D1, D2, D5, D6|DO-41|1N4001|0.01|4|1N4001|Taydaelectronics
LED_White|Typical INFRARED GaAs LED|D3, D4, D7, D8|LED|LED0|0.04|4|LED0|Taydaelectronics
D Connector 9|Receptacle Assembly, 9 Position, Right Angle|J1, J2, J3, J4|DSUB1.385-2H9|D Connector 9|0.48|4|D Connector 9|Taydaelectronics
SPDT||K1, K2, K3, K4, K5, K6, K7, K8, K9, K10, K11, K12, K13, K14, K15, K16|Relay  SPDT Tayda|SPDT|0.64|16|SPDT|Taydaelectronics
Header 4|Header, 4-Pin|P1|HDR1X4|Header 4|0.04|1|Header 4|Taydaelectronics
Header 2|Header, 2-Pin|P2|HDR1X2|Header 2|0.02|1|Header 2|Taydaelectronics
Header 7|Header, 7-Pin|P3|HDR1X7|Header 7|0.07|1|Header 7|Taydaelectronics
2N3904|NPN General Purpose Amplifier|Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q18, Q19, Q20|2N3904|2N3904|0.01|20|2N3904|Taydaelectronics
Res1|Resistor|R1, R2, R3, R7, R19, R21, R25, R29|AXIAL-0.3|Res1|0.01|8|10k|Taydaelectronics
Res1|Resistor|R4, R8, R9, R10, R11, R14, R15, R16, R26, R27, R30, R31, R32, R34|AXIAL-0.3|Res1|0.01|14|1K|Taydaelectronics
Res1|Resistor|R5, R6, R12, R13, R20, R24, R28, R33|AXIAL-0.3|Res1|0.01|8|1M|Taydaelectronics
Res1|Resistor|R17, R18, R22, R23|AXIAL-0.3|Res1|0.01|4|500|Taydaelectronics
