Field=Comment~String~Comment~77|Field=Description~String~Description~262|Field=Designator~String~Designator~546|Field=Footprint~String~Footprint~88|Field=LibRef~String~LibRef~77|Field=Price~String~Price~47|Field=Quantity~Integer~Quantity~62|Field=Vendor~String~Vendor~89|Field=Value~String~Value~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PrintingProjectAllDocs.PrjPCB|ReportField=ProjectFullPath~C:\Users\laptop\Desktop\Levi\SeniorProject\Epic Cube Design\Workspace\Projects\PrintingProjectAllDocs.PrjPCB|ReportField=Title~HVAC and Garage BOM 2 For Schematic Document [HeatingAC_Garage.SchDoc]|ReportField=TotalQuantity~61|ReportField=ReportTime~11:16:37 PM|ReportField=ReportDate~9/24/2012|ReportField=ReportDateTime~9/24/2012 11:16:37 PM|ReportField=OutputName~HVAC and Garage BOM 2|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~50 S Central Campus Dr.|ReportField=Address2~Rm. 3280 MEB|ReportField=Address3~SLC, UT 84112|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~Levi Balling|ReportField=CheckedBy~Dell Hanks|ReportField=CompanyName~Smart House|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~9/24/2012|ReportField=CurrentTime~11:16:32 PM|ReportField=Date~7/11/2012|ReportField=DocumentFullPathAndName~C:\Users\laptop\Desktop\Levi\SeniorProject\Epic Cube Design\Workspace\Schematics\HeatingAC_Garage.SchDoc|ReportField=DocumentName~HeatingAC_Garage.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~Levi Balling|ReportField=Engineer~Levi Balling|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~8/31/2012|ReportField=Organization~U of U Computer Engineering|ReportField=Project~Smart Home|ReportField=ProjectName~PrintingProjectAllDocs.PrjPCB|ReportField=Revision~3|ReportField=Rule~|ReportField=SheetNumber~6|ReportField=SheetTotal~13|ReportField=Time~|ReportField=Title~HVAC & Garage Control|ReportField=VersionControl_RevNumber~1|ReportField=Website~www.eng.utah.edu/~lballing/SmartHome|ReportField=DataSourceFileName~HeatingAC_Garage.SchDoc|ReportField=DataSourceFullPath~C:\Users\laptop\Desktop\Levi\SeniorProject\Epic Cube Design\Workspace\Schematics\HeatingAC_Garage.SchDoc
Cap|Capacitor|C1, C4|RAD-0.3|Cap|0.03|2|Taydaelectronics|0.1uF
Cap|Capacitor|C2|RAD-0.3|Cap|0.03|1|Taydaelectronics|1uF
Cap|Capacitor|C3|RAD-0.3|Cap||1||100uF
LED_White|Typical INFRARED GaAs LED|D1, D2, D3, D4|LED-0|LED0|0.04|4|Taydaelectronics|LED0
1N4001|1.0 Ampere General Purpose Rectifier|D5, D6, D7, D8, D9, D10, D11|DO-41|1N4001|0.01|7|Taydaelectronics|1N4001
D Connector 9|Receptacle Assembly, 9 Position, Right Angle|J1|DSUB1.385-2H9|D Connector 9|0.48|1|Taydaelectronics|D Connector 9
SPDT||K1, K2, K3, K4, K5, K6, K7|Relay  SPDT Tayda|SPDT|0.64|7|Taydaelectronics|SPDT
Header 2|Header, 2-Pin|P1|HDR1X2|Header 2|0.02|1|Taydaelectronics|Header 2
Header 3|Header, 3-Pin|P2|HDR1X3|Header 3|0.03|1|Taydaelectronics|Header 3
Header 7|Header, 7-Pin|P3|HDR1X7|Header 7|0.07|1|Taydaelectronics|Header 7
2N3904|NPN General Purpose Amplifier|Q1, Q2, Q3, Q4, Q5, Q6, Q7|2N3904|2N3904|0.01|7|Taydaelectronics|2N3904
Res1|Resistor|R1, R2, R3, R5|AXIAL-0.3|Res1|0.01|4|Taydaelectronics|510
Res1|Resistor|R4, R6, R7, R8, R9, R10, R11, R12, R13, R20, R21, R22, R23|AXIAL-0.3|Res1|0.01|13|Taydaelectronics|3.3k
Res1|Resistor|R14, R15, R16, R17, R18, R19|AXIAL-0.3|Res1|0.01|6|Taydaelectronics|10k
OptoCoupler||U1, U3, U4|Octocoupler|OptoCoupler|0.3|3|Taydaelectronics|OptoCoupler
SN7416N|Hex Inverter Buffer / Driver with High-Voltage Outputs|U2|N014|SN7416N|0.18|1|Taydaelectronics|SN7416N
L78L05ACZ|Voltage Regulator|VR1|2N3904|Volt Reg||1||
