Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Price~String~Price~100|Field=Quantity~Integer~Quantity~100|Field=Value~String~Value~100|Field=Vendor~String~Vendor~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PrintingProjectAllDocs.PrjPCB|ReportField=ProjectFullPath~C:\Users\laptop\Desktop\Levi\SeniorProject\Epic Cube Design\Workspace\Projects\PrintingProjectAllDocs.PrjPCB|ReportField=Title~Sprinkler Control BOM 2 For Schematic Document [SprinklerBoard.SchDoc]|ReportField=TotalQuantity~42|ReportField=ReportTime~11:20:23 PM|ReportField=ReportDate~9/24/2012|ReportField=ReportDateTime~9/24/2012 11:20:23 PM|ReportField=OutputName~Sprinkler Control BOM 2|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~50 S. Central Campus Dr.|ReportField=Address2~Rm. 3280 MEB|ReportField=Address3~Salt Lake City, UT|ReportField=Address4~Australia 2086|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~9/24/2012|ReportField=CurrentTime~11:20:19 PM|ReportField=Date~|ReportField=Description~This board will control 6 Sprinkler Stations|ReportField=DocumentFullPathAndName~C:\Users\laptop\Desktop\Levi\SeniorProject\Epic Cube Design\Workspace\Schematics\SprinklerBoard.SchDoc|ReportField=DocumentName~SprinklerBoard.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~Levi Balling|ReportField=Engineer~Levi Balling|ReportField=ImagePath~|ReportField=ModifiedDate~8/31/2012|ReportField=Organization~U of U Computer Engineering|ReportField=Project~Smart Home|ReportField=ProjectName~PrintingProjectAllDocs.PrjPCB|ReportField=Revision~1|ReportField=Rule~|ReportField=SheetNumber~9|ReportField=SheetTotal~13|ReportField=Time~|ReportField=Title~Sprinkler Controller|ReportField=Website~www.eng.utah.edu/~lballing/SmartHome|ReportField=DataSourceFileName~SprinklerBoard.SchDoc|ReportField=DataSourceFullPath~C:\Users\laptop\Desktop\Levi\SeniorProject\Epic Cube Design\Workspace\Schematics\SprinklerBoard.SchDoc
1N4001|1.0 Ampere General Purpose Rectifier|D1, D2, D3, D4, D5, D6|DO-41|1N4001|0.01|6|1N4001|Taydaelectronics
LED_White|Typical INFRARED GaAs LED|D7, D8, D9, D10, D11, D12|LED|LED0|0.04|6|LED0|Taydaelectronics
D Connector 9|Receptacle Assembly, 9 Position, Right Angle|J1|DSUB1.385-2H9|D Connector 9|0.48|1|D Connector 9|Taydaelectronics
SPDT||K1, K2, K3, K4, K5, K6|Relay  SPDT Tayda|SPDT|0.64|6|SPDT|Taydaelectronics
Header 7|Header, 7-Pin|P1|HDR1X7|Header 7|0.07|1|Header 7|Taydaelectronics
2N3904|NPN General Purpose Amplifier|Q1, Q2, Q3, Q4, Q5, Q6|2N3904|2N3904|0.01|6|2N3904|Taydaelectronics
Res1|Resistor|R1, R2, R3, R4, R5, R6, R7, R8|AXIAL-0.3|Res1|0.01|8|1K|Taydaelectronics
Res1|Resistor|R9, R10, R11, R12, R13, R14|AXIAL-0.3|Res1|0.01|6|120|Taydaelectronics
SN7416N|Hex Inverter Buffer / Driver with High-Voltage Outputs|U1|N014|SN7416N|0.18|1|SN7416N|Taydaelectronics
74AC138B|3-to-8 Line Decoder Inverting|U2|DIP16|74AC138B|0.25|1|74AC138B|Taydaelectronics
